cancer_type,n_patients,event_rate,median_followup_months,censoring_rate
Non-Small Cell Lung Cancer,6137,0.4391396447775786,17.852,0.5608603552224214
Breast Cancer,5197,0.3384644987492784,25.578,0.6615355012507216
Colorectal Cancer,4611,0.32270657124268054,18.608,0.6772934287573195
Prostate Cancer,2627,0.2725542443852303,23.375,0.7274457556147698
Pancreatic Cancer,2411,0.5856491082538365,10.521,0.41435089174616346
Endometrial Cancer,2180,0.2628440366972477,17.6055,0.7371559633027522
Ovarian Cancer,1909,0.33001571503404925,17.03,0.6699842849659507
Soft Tissue Sarcoma,1889,0.36580201164637377,16.307,0.6341979883536262
Bladder Cancer,1827,0.2917350848385331,16.044,0.7082649151614668
Glioma,1801,0.5197112715158245,14.959,0.4802887284841755
Esophagogastric Cancer,1522,0.4921156373193167,11.4245,0.5078843626806833
Melanoma,1512,0.3419312169312169,19.627,0.658068783068783
Hepatobiliary Cancer,1206,0.6061359867330016,9.9785,0.3938640132669984
Cancer of Unknown Primary,1192,0.5746644295302014,8.482,0.42533557046979864
Renal Cell Carcinoma,951,0.323869610935857,19.134,0.676130389064143
Other,6701,0.3645724518728548,18.575,0.6354275481271452
